name,desc
Aquilla Lake,"This 3,280-acre lake is located on Aquilla and Hackberry Creeks."
Hords Creek Lake,"Located approximately 8 miles west of Coleman, Hords Creek Lake is one of Texas' most pretty little lakes.  The lake is surrounded by beautiful oak trees and offers many activities to all those who enjoy the outdoors.  There is a park on each side of the lake, each providing roughly 60 campsites, all standard with water and electricity.  The lake also provides premium sites including those with screened-in picnic tables, sewer sites, double sites, and even 50 AMP breakers.  The lake also provides shelters for those without travel trailers.  Away from your campsite, the lake provides an excellent place to fish or ski.  Stocked with largemouth bass, crappie, channel catfish, blue catfish, flathead catfish, and bluegill, there is something for everyone.  If you are looking to relax in a peaceful environment or looking to get out there on the lake, Hords Creek is your spot!"
Grapevine Lake,"Centrally located in the heart of the Dallas/Fort Worth Metroplex just minutes from DFW Airport, Grapevine Lake offers a variety of outdoor recreation opportunities.  Nationally recognized trails, full service campgrounds, and beautiful day use areas surround the 7,276 acre lake which hosts over 2,000,000 visitors annually."
Flower Garden Banks National Marine Sanctuary,"Located 70 to 115 miles from the nearest land, the wonderful biological diversity and breathtaking beauty of the Flower Garden Banks prompted researchers and recreational divers to seek protection for this area. In the 1970s they launched what would become a 20 year effort, culminating in 1992, to designate the Flower Garden Banks National Marine Sanctuary.

In October, 1996, Congress expanded the sanctuary by adding a small third bank. Stetson Bank is also a salt dome, located about 70 miles south of Galveston, Texas. Because of its location, average temperatures during the winter are several degrees cooler than at the Flower Gardens. Consequently, the corals do not thrive and build into reefs. Instead, this bank supports a coral/sponge habitat and rich assemblages of associated animals and plants where the siltstone bedrock can still be seen in many places. 

Diving and fishing can be enjoyed by visitors to the Flower Garden Banks National Marine Sanctuary."
Twin Buttes Reservoir,"<a href=""http://www.usbr.gov/projects/Facility.jsp?fac_Name=Twin+Buttes+Dam"" rel=""nofollow"">Twin Buttes Dam</a> and Reservoir, features of the <a href=""http://www.usbr.gov/projects/Project.jsp?proj_Name=San+Angelo+Project"" rel=""nofollow"">San Angelo Project</a>, are located  immediately upstream from the Nasworthy Reservoir, about 6 miles southwest of San Angelo, Texas.  Twin Buttes Dam controls the flows of the South and Middle Concho Rivers and Spring Creek.  Although the reservoir has only reached full capacity twice, back in hte 1970's, the full lake has approximately 9,800 water surface acres, 3,219 land acres and 55 miles of shoreline. It is accessible from numerous roads. There are very limited recreational facilites around Twin Buues Reservoir.  Camping is allowed, but there ate no developed campsies or hook-ups.  Most public recreational facilites i the area are located around Lake Nasworthy just below Twin Buttes Dam. Open year-around for fishing.
Available species include bass, crappie, sunfish, catfish, carp, shad, and drum. All project facilities are managed for the Bureau of Reclamation by the City of San Angelo. <a href=""http://www.usbr.gov/gp-bin/arcweb_trgt.pl"" rel=""nofollow"">Current reservoir levels</a>."
Texas Point National Wildlife Refuge,"Bayous weave through a seemingly endless expanse of cordgrass, reptilian eyes at the water's surface witness the ever-changing variety of waterfowl, and the call of the clapper rail reverberates through the marsh.  For hundreds of years, many of the sights and sounds within this dynamic eco-system have gone untouched.   Under the protective umbrella of the U.S. Fish and Wildlife Service, the hope and expectation is that they will continue for hundreds more.



Welcome to the McFaddin and Texas Point NWRs, located on the upper Texas Coast. The two refuges supply important feeding and resting habitat for migrating and wintering populations of waterfowl.  Established in 1980 and 1979, respectively, the 55,000 acre McFaddin NWR consists of the largest remaining freshwater marsh on the Texas Coast and thousands of acres of intermediate to brackish marsh, while neighboring Texas Point NWR encompasses 8,900 acres of fresh to salt marsh with some wooded uplands and prairie ridges. 



McFaddin and Texas Point National Wildlife Refuges are two of the 540 refuges that comprise the National Wildlife Refuge System, a national network of lands and waters set aside for the benefit of wildlife, and you!"
Cooper Lake,"When complete, will impound the South Sulphur River in Delta and Hopkins Counties."
Wright Patman Lake,"Wright Patman Lake is located in the beautiful piney woods of northeast Texas.  The lake includes about 30,000 surface acres of water and 50,000 acres of land.  Numerous recreational opportunities are available including camping, boating, fishing, swimming, hiking, hunting, and wildlife viewing including wintering bald eagles, pelicans, and various migratory ducks.  Local attractions include numerous festivals such as Four State Fair and Rodeo; Quadrangle Street Festival;Jump, Jive and Jam Festival in Texarkana; Forest Festival in Atlanta; and Frontier Days Festival in New Boston.  Texarkana also has numerous museums and points of interest including historic buildings and memorials."
Steinhagen Lake,"Points of interest in this majestic ""Big Thicket"" region of Texas include four National Forests and an Indian Reservation."
Georgetown Lake,"Located 4 mi W of Georgetown via FM 2338, the lake is easily accessible from the Austin area.  The dam impounds the San Gabriel River in the Hill Country of central Texas."
Ray Roberts Lake,"This 29,350-acre rural lake is just a few minutes from the Dallas/Fort Worth Metroplex and is a great place to get away from city life.  Visitors can enjoy boating, fishing, camping, hiking, and horseback riding in several Texas State Parks. For more information and access to reservations at Texas State Parks, visit <a href=""http://www.tpwd.state.tx.us/state-parks/ray-roberts-lake"" rel=""nofollow"">http://www.tpwd.state.tx.us/state-parks/ray-roberts-lake</a>."
